TYPMAR3;REGDEP_MAR;GRAGE;NBMARIES
HF-F;9313;60_PL;80
HF-F;9383;14_19;13
HF-F;9383;20_24;269
HF-F;9383;25_29;827
HF-F;9383;30_34;834
HF-F;9383;35_39;448
HF-F;9383;40_49;454
HF-F;9383;50_59;212
HF-F;9383;60_PL;74
HF-F;9384;14_19;8
HF-F;9384;20_24;200
HF-F;9384;25_29;464
HF-F;9384;30_34;430
HF-F;9384;35_39;222
HF-F;9384;40_49;198
HF-F;9384;50_59;93
HF-F;9384;60_PL;26
HF-F;942A;14_19;0
HF-F;942A;20_24;26
HF-F;942A;25_29;113
HF-F;942A;30_34;127
HF-F;942A;35_39;61
HF-F;942A;40_49;66
HF-F;942A;50_59;46
HF-F;942A;60_PL;12
HF-F;942B;14_19;0
HF-F;942B;20_24;23
HF-F;942B;25_29;125
HF-F;942B;30_34;144
HF-F;942B;35_39;86
HF-F;942B;40_49;77
HF-F;942B;50_59;39
HF-F;942B;60_PL;7
HF-F;971;14_19;1
HF-F;971;20_24;59
HF-F;971;25_29;164
HF-F;971;30_34;187
HF-F;971;35_39;126
HF-F;971;40_49;180
HF-F;971;50_59;102
HF-F;971;60_PL;29
HF-F;972;14_19;2
HF-F;972;20_24;49
HF-F;972;25_29;170
HF-F;972;30_34;188
HF-F;972;35_39;118
HF-F;972;40_49;199
HF-F;972;50_59;124
HF-F;972;60_PL;47
HF-F;973;14_19;3
HF-F;973;20_24;82
HF-F;973;25_29;103
HF-F;973;30_34;106
HF-F;973;35_39;98
HF-F;973;40_49;99
HF-F;973;50_59;47
HF-F;973;60_PL;16
HF-F;974;14_19;18
HF-F;974;20_24;279
HF-F;974;25_29;686
HF-F;974;30_34;577
HF-F;974;35_39;357
HF-F;974;40_49;364
HF-F;974;50_59;153
HF-F;974;60_PL;35
HF-F;976;14_19;17
HF-F;976;20_24;109
HF-F;976;25_29;126
HF-F;976;30_34;92
HF-F;976;35_39;47
HF-F;976;40_49;47
HF-F;976;50_59;13
HF-F;976;60_PL;3
HF-F;1175;TOTAL;7069
HF-F;1177;TOTAL;3967
